task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
9	2b/973cbf	814929	NFCORE_SAMMYSEQ:SAMMYSEQ:FASTQC (CTRL004_S4)	COMPLETED	0	2025-10-29 16:18:36.845	8.5s	5.5s	147.3%	250.3 MB	4.9 GB	17.7 MB	2 MB
5	be/9df69c	815390	NFCORE_SAMMYSEQ:SAMMYSEQ:FASTQC (CTRL004_S2)	COMPLETED	0	2025-10-29 16:18:45.749	8.7s	5.8s	177.4%	307.4 MB	4.9 GB	20.7 MB	1.8 MB
8	f7/1d1722	815916	NFCORE_SAMMYSEQ:SAMMYSEQ:FASTQC (CTRL004_S3)	COMPLETED	0	2025-10-29 16:18:54.510	6.3s	4.6s	134.2%	271.6 MB	4.8 GB	18.9 MB	1.8 MB
1	0d/03a8ee	816510	NFCORE_SAMMYSEQ:SAMMYSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX_CHROM_SIZES (chr22.fa)	COMPLETED	0	2025-10-29 16:19:18.952	3.1s	333ms	74.6%	5.9 MB	11.2 MB	49.7 MB	6.4 KB
2	3a/0f827b	816695	NFCORE_SAMMYSEQ:SAMMYSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX_FAI (chr22.fa)	COMPLETED	0	2025-10-29 16:19:22.112	3.3s	257ms	86.9%	6 MB	11.2 MB	49.7 MB	6.4 KB
7	0b/7ef931	818418	NFCORE_SAMMYSEQ:SAMMYSEQ:TRIMGALORE (CTRL004_S4)	COMPLETED	0	2025-10-29 16:20:43.204	9.7s	6.1s	122.6%	37.8 MB	49.5 MB	74.7 MB	61.5 MB
4	c7/a0d6ff	819318	NFCORE_SAMMYSEQ:SAMMYSEQ:TRIMGALORE (CTRL004_S2)	COMPLETED	0	2025-10-29 16:20:52.998	6.4s	4.4s	135.3%	37.9 MB	49.5 MB	110.5 MB	97.3 MB
6	88/6f97f4	820284	NFCORE_SAMMYSEQ:SAMMYSEQ:TRIMGALORE (CTRL004_S3)	COMPLETED	0	2025-10-29 16:20:59.424	6.9s	5.1s	136.5%	38 MB	49.5 MB	89.3 MB	76.1 MB
3	6c/3c8290	817037	NFCORE_SAMMYSEQ:SAMMYSEQ:PREPARE_GENOME:BWA_INDEX (chr22.fa)	COMPLETED	0	2025-10-29 16:19:51.721	1m 18s	1m 16s	96.1%	78.8 MB	97 MB	196.3 MB	133.3 MB
11	19/4b6eea	821174	NFCORE_SAMMYSEQ:SAMMYSEQ:FASTQC (CTRL004_S4_trim)	COMPLETED	0	2025-10-29 16:21:06.305	7.6s	5.7s	106.0%	236.9 MB	4.9 GB	17.5 MB	1.9 MB
12	5e/60b350	821813	NFCORE_SAMMYSEQ:SAMMYSEQ:FASTQC (CTRL004_S2_trim)	COMPLETED	0	2025-10-29 16:21:13.903	7s	5.5s	129.2%	278.2 MB	4.8 GB	20.7 MB	1.9 MB
13	5c/ca9b3a	822331	NFCORE_SAMMYSEQ:SAMMYSEQ:FASTQC (CTRL004_S3_trim)	COMPLETED	0	2025-10-29 16:21:20.943	6.7s	4.9s	142.8%	280.5 MB	4.9 GB	18.8 MB	1.9 MB
15	34/e49d99	822938	NFCORE_SAMMYSEQ:SAMMYSEQ:FASTQ_ALIGN_DNA:BWAMEM1_MEM (CTRL004_S2)	COMPLETED	0	2025-10-29 16:21:27.675	9.9s	7.6s	347.8%	318.2 MB	563.3 MB	161 MB	79.2 MB
14	bf/224c56	823662	NFCORE_SAMMYSEQ:SAMMYSEQ:FASTQ_ALIGN_DNA:BWAMEM1_MEM (CTRL004_S4)	COMPLETED	0	2025-10-29 16:21:37.581	6.3s	4.8s	350.0%	219 MB	3.5 GB	133.1 MB	50.1 MB
